,trials,trial_keys,trial_type
131,131,1,random
132,132,4,random
133,133,1,random
134,134,3,random
135,135,3,no transition
136,136,3,random
137,137,3,random
138,138,3,random
139,139,2,random
140,140,3,no transition
141,141,4,random
142,142,4,random
143,143,1,random
144,144,4,random
145,145,2,no transition
146,146,1,random
147,147,1,random
148,148,4,random
149,149,4,random
150,150,1,no transition
151,151,1,random
152,152,1,random
153,153,1,random
154,154,2,random
155,155,4,no transition
156,156,4,random
157,157,3,random
158,158,3,random
159,159,4,random
160,160,1,no transition
161,161,1,random
162,162,2,random
163,163,2,random
164,164,4,random
165,165,3,no transition
166,166,4,random
167,167,2,random
168,168,4,random
169,169,1,random
170,170,1,no transition
171,171,3,random
172,172,3,random
173,173,3,random
174,174,4,random
175,175,4,no transition
176,176,3,random
177,177,1,random
178,178,3,random
179,179,1,random
180,180,4,no transition
181,181,4,random
182,182,2,random
183,183,1,random
184,184,3,random
185,185,4,no transition
186,186,3,random
187,187,2,random
188,188,2,random
189,189,3,random
190,190,2,no transition
191,191,3,random
192,192,1,random
193,193,4,random
194,194,3,random
195,195,4,no transition
196,196,4,random
197,197,3,random
198,198,2,random
199,199,4,random
200,200,2,no transition
201,201,3,random
202,202,4,random
203,203,1,random
204,204,2,random
205,205,2,no transition
206,206,4,random
207,207,3,random
208,208,2,random
209,209,3,random
210,210,4,no transition
211,211,4,random
212,212,2,random
213,213,2,random
214,214,3,random
215,215,3,no transition
216,216,4,random
217,217,3,random
218,218,1,random
219,219,3,random
220,220,2,no transition
221,221,1,random
222,222,2,random
223,223,4,random
224,224,3,random
225,225,4,no transition
226,226,3,random
227,227,3,random
228,228,1,random
229,229,2,random
230,230,3,no transition
231,231,1,random
232,232,2,random
233,233,3,random
234,234,2,random
235,235,2,no transition
236,236,1,random
237,237,3,random
238,238,1,random
239,239,1,random
240,240,2,no transition
241,241,1,random
242,242,1,random
243,243,3,random
244,244,2,random
245,245,4,no transition
246,246,2,random
247,247,4,random
248,248,4,random
249,249,3,random
250,250,4,no transition
251,251,1,random
252,252,4,random
253,253,1,random
254,254,3,random
255,255,3,no transition
256,256,4,random
257,257,2,random
258,258,3,random
259,259,2,random
260,260,3,no transition
261,261,2,random
262,262,1,random
263,263,3,random
264,264,2,random
265,265,2,no transition
266,266,4,random
267,267,3,random
268,268,3,random
269,269,2,random
270,270,1,no transition
271,271,2,random
272,272,3,random
273,273,3,random
274,274,2,random
275,275,1,no transition
276,276,2,random
277,277,1,random
278,278,3,random
279,279,1,random
280,280,4,no transition
281,281,3,random
282,282,4,random
283,283,3,random
284,284,4,random
285,285,3,no transition
286,286,3,random
287,287,1,random
288,288,4,random
289,289,2,random
290,290,1,no transition
291,291,1,random
292,292,1,random
293,293,2,random
294,294,1,random
295,295,4,no transition
296,296,4,random
297,297,3,random
298,298,3,random
299,299,2,random
300,300,2,no transition
301,301,2,random
302,302,4,random
303,303,1,random
304,304,3,random
305,305,4,no transition
306,306,3,random
307,307,2,random
308,308,1,random
309,309,2,random
310,310,1,no transition
311,311,4,random
312,312,3,random
313,313,4,random
314,314,3,random
315,315,3,no transition
316,316,4,random
317,317,4,random
318,318,1,random
319,319,2,random
320,320,1,no transition
321,321,2,random
322,322,1,random
323,323,1,random
324,324,3,random
325,325,3,no transition
326,326,4,random
327,327,4,random
328,328,2,random
329,329,2,random
330,330,2,no transition
331,331,2,random
332,332,1,random
333,333,4,random
334,334,3,random
335,335,4,no transition
336,336,4,random
337,337,1,random
338,338,3,random
339,339,3,random
340,340,2,no transition
341,341,1,random
342,342,1,random
343,343,1,random
344,344,1,random
345,345,2,no transition
346,346,1,random
347,347,2,random
348,348,4,random
349,349,2,random
350,350,4,no transition
351,351,2,random
352,352,3,random
353,353,3,random
354,354,2,random
355,355,4,no transition
356,356,1,random
357,357,4,random
358,358,3,random
359,359,2,random
360,360,4,no transition
361,361,4,random
362,362,4,random
363,363,2,random
364,364,1,random
365,365,2,no transition
366,366,4,random
367,367,4,random
368,368,4,random
369,369,4,random
370,370,1,no transition
371,371,4,random
372,372,1,random
373,373,4,random
374,374,4,random
375,375,2,no transition
376,376,3,random
377,377,2,random
378,378,4,random
379,379,1,random
380,380,2,no transition
381,381,4,random
382,382,4,random
383,383,4,random
384,384,4,random
385,385,4,no transition
386,386,3,random
387,387,1,random
388,388,1,random
389,389,4,random
390,390,3,no transition
391,391,2,random
392,392,2,random
393,393,4,random
394,394,2,random
395,395,3,no transition
396,396,1,random
397,397,3,random
398,398,3,random
399,399,3,random
400,400,4,no transition
401,401,3,random
402,402,2,random
403,403,4,random
404,404,3,random
405,405,4,no transition
406,406,4,random
407,407,4,random
408,408,2,random
409,409,3,random
410,410,3,no transition
411,411,3,random
412,412,1,random
413,413,1,random
414,414,2,random
415,415,2,no transition
416,416,4,low_prob
417,417,1,low_prob
418,418,2,low_prob
419,419,1,high_prob
420,420,2,no transition
421,421,4,low_prob
422,422,2,low_prob
423,423,1,high_prob
424,424,2,low_prob
425,425,4,no transition
426,426,1,low_prob
427,427,3,low_prob
428,428,4,high_prob
429,429,2,low_prob
430,430,1,no transition
431,431,4,low_prob
432,432,3,low_prob
433,433,4,high_prob
434,434,2,low_prob
435,435,2,no transition
436,436,3,low_prob
437,437,1,low_prob
438,438,3,low_prob
439,439,4,high_prob
440,440,2,no transition
441,441,1,high_prob
442,442,2,low_prob
443,443,1,high_prob
444,444,2,low_prob
445,445,3,no transition
446,446,2,low_prob
447,447,3,low_prob
448,448,4,high_prob
449,449,1,low_prob
450,450,2,no transition
451,451,1,high_prob
452,452,2,low_prob
453,453,1,high_prob
454,454,3,low_prob
455,455,1,no transition
456,456,3,low_prob
457,457,2,low_prob
458,458,3,low_prob
459,459,4,high_prob
460,460,2,no transition
461,461,3,low_prob
462,462,4,high_prob
463,463,1,low_prob
464,464,3,low_prob
465,465,1,no transition
466,466,2,low_prob
467,467,1,high_prob
468,468,2,low_prob
469,469,3,low_prob
470,470,4,no transition
471,471,2,low_prob
472,472,1,high_prob
473,473,2,low_prob
474,474,3,low_prob
475,475,3,no transition
476,476,2,low_prob
477,477,3,low_prob
478,478,4,high_prob
479,479,2,low_prob
480,480,4,no transition
481,481,2,low_prob
482,482,1,high_prob
483,483,3,low_prob
484,484,4,high_prob
485,485,4,no transition
486,486,1,low_prob
487,487,4,low_prob
488,488,1,low_prob
489,489,2,low_prob
490,490,4,no transition
491,491,2,low_prob
492,492,1,high_prob
493,493,4,low_prob
494,494,1,low_prob
495,495,2,no transition
496,496,3,low_prob
497,497,4,high_prob
498,498,1,low_prob
499,499,3,low_prob
500,500,3,no transition
501,501,2,low_prob
502,502,3,low_prob
503,503,1,low_prob
504,504,3,low_prob
505,505,3,no transition
506,506,4,high_prob
507,507,3,low_prob
508,508,4,high_prob
509,509,1,low_prob
510,510,1,no transition
511,511,4,low_prob
512,512,2,low_prob
513,513,1,high_prob
514,514,3,low_prob
515,515,3,no transition
516,516,4,high_prob
517,517,1,low_prob
518,518,3,low_prob
519,519,1,low_prob
520,520,3,no transition
521,521,4,high_prob
522,522,1,low_prob
523,523,2,low_prob
524,524,4,low_prob
525,525,3,no transition
526,526,4,high_prob
527,527,3,low_prob
528,528,4,high_prob
529,529,1,low_prob
530,530,3,no transition
531,531,2,low_prob
532,532,4,low_prob
533,533,2,low_prob
534,534,4,low_prob
535,535,1,no transition
536,536,2,low_prob
537,537,1,high_prob
538,538,4,low_prob
539,539,2,low_prob
540,540,2,no transition
541,541,1,high_prob
542,542,4,low_prob
543,543,2,low_prob
544,544,1,high_prob
545,545,4,no transition
546,546,1,low_prob
547,547,4,low_prob
548,548,2,low_prob
549,549,4,low_prob
550,550,2,no transition
551,551,1,high_prob
552,552,4,low_prob
553,553,1,low_prob
554,554,2,low_prob
555,555,1,no transition
556,556,4,low_prob
557,557,1,low_prob
558,558,3,low_prob
559,559,4,high_prob
560,560,3,no transition
561,561,2,low_prob
562,562,1,high_prob
563,563,2,low_prob
564,564,4,low_prob
565,565,3,no transition
566,566,2,low_prob
567,567,1,high_prob
568,568,4,low_prob
569,569,2,low_prob
570,570,4,no transition
571,571,2,low_prob
572,572,3,low_prob
573,573,4,high_prob
574,574,1,low_prob
575,575,2,no transition
576,576,1,high_prob
577,577,3,low_prob
578,578,2,low_prob
579,579,1,high_prob
580,580,4,no transition
581,581,3,low_prob
582,582,1,low_prob
583,583,4,low_prob
584,584,2,low_prob
585,585,3,no transition
586,586,1,low_prob
587,587,3,low_prob
588,588,4,high_prob
589,589,2,low_prob
590,590,1,no transition
591,591,3,low_prob
592,592,4,high_prob
593,593,2,low_prob
594,594,4,low_prob
595,595,2,no transition
596,596,4,low_prob
597,597,3,low_prob
598,598,4,high_prob
599,599,1,low_prob
600,600,3,no transition
601,601,4,high_prob
602,602,1,low_prob
603,603,4,low_prob
604,604,2,low_prob
605,605,2,no transition
606,606,1,high_prob
607,607,3,low_prob
608,608,4,high_prob
609,609,3,low_prob
610,610,3,no transition
611,611,1,low_prob
612,612,2,low_prob
613,613,1,high_prob
614,614,2,low_prob
615,615,4,no transition
616,616,2,low_prob
617,617,1,high_prob
618,618,3,low_prob
619,619,4,high_prob
620,620,4,no transition
621,621,2,low_prob
622,622,4,low_prob
623,623,3,low_prob
624,624,4,high_prob
625,625,4,no transition
626,626,3,low_prob
627,627,2,low_prob
628,628,1,high_prob
629,629,3,low_prob
630,630,4,no transition
631,631,2,low_prob
632,632,1,high_prob
633,633,2,low_prob
634,634,4,low_prob
635,635,1,no transition
636,636,4,low_prob
637,637,1,low_prob
638,638,2,low_prob
639,639,1,high_prob
640,640,3,no transition
641,641,4,high_prob
642,642,3,low_prob
643,643,4,high_prob
644,644,3,low_prob
645,645,2,no transition
646,646,1,high_prob
647,647,2,low_prob
648,648,1,high_prob
649,649,2,low_prob
650,650,1,no transition
651,651,4,low_prob
652,652,1,low_prob
653,653,4,low_prob
654,654,3,low_prob
655,655,2,no transition
656,656,1,high_prob
657,657,4,low_prob
658,658,1,low_prob
659,659,3,low_prob
660,660,1,no transition
661,661,4,low_prob
662,662,2,low_prob
663,663,4,low_prob
664,664,2,low_prob
665,665,3,no transition
666,666,1,low_prob
667,667,2,low_prob
668,668,4,low_prob
669,669,1,low_prob
670,670,3,no transition
671,671,4,high_prob
672,672,2,low_prob
673,673,4,low_prob
674,674,2,low_prob
675,675,1,no transition
676,676,4,low_prob
677,677,1,low_prob
678,678,3,low_prob
679,679,4,high_prob
680,680,2,no transition
681,681,1,high_prob
682,682,3,low_prob
683,683,4,high_prob
684,684,1,low_prob
685,685,2,no transition
686,686,1,high_prob
687,687,3,low_prob
688,688,4,high_prob
689,689,2,low_prob
690,690,2,no transition
691,691,1,high_prob
692,692,3,low_prob
693,693,4,high_prob
694,694,1,low_prob
695,695,4,no transition
696,696,1,low_prob
697,697,3,low_prob
698,698,4,high_prob
699,699,2,low_prob
700,700,3,no transition
701,701,4,high_prob
702,702,1,low_prob
703,703,4,low_prob
704,704,2,low_prob
705,705,3,no transition
706,706,2,low_prob
707,707,1,high_prob
708,708,2,low_prob
709,709,1,high_prob
710,710,1,no transition
711,711,3,low_prob
712,712,4,high_prob
713,713,2,low_prob
714,714,1,high_prob
715,715,3,no transition
716,716,4,high_prob
717,717,1,low_prob
718,718,2,low_prob
719,719,4,low_prob
720,720,2,no transition
721,721,1,high_prob
722,722,2,low_prob
723,723,1,high_prob
724,724,4,low_prob
725,725,4,no transition
726,726,3,low_prob
727,727,4,high_prob
728,728,1,low_prob
729,729,2,low_prob
730,730,4,no transition
731,731,3,low_prob
732,732,2,low_prob
733,733,1,high_prob
734,734,3,low_prob
735,735,2,no transition
736,736,1,high_prob
737,737,2,low_prob
738,738,1,high_prob
739,739,3,low_prob
740,740,2,no transition
741,741,4,low_prob
742,742,1,low_prob
743,743,2,low_prob
744,744,1,high_prob
745,745,2,no transition
746,746,1,high_prob
747,747,2,low_prob
748,748,4,low_prob
749,749,2,low_prob
750,750,2,no transition
751,751,1,high_prob
752,752,4,low_prob
753,753,2,low_prob
754,754,1,high_prob
755,755,3,no transition
756,756,2,low_prob
757,757,4,low_prob
758,758,2,low_prob
759,759,1,high_prob
760,760,2,no transition
761,761,1,high_prob
762,762,4,low_prob
763,763,3,low_prob
764,764,4,high_prob
765,765,1,no transition
766,766,2,low_prob
767,767,1,high_prob
768,768,2,low_prob
769,769,4,low_prob
770,770,4,no transition
771,771,3,low_prob
772,772,4,high_prob
773,773,3,low_prob
774,774,4,high_prob
775,775,2,no transition
776,776,1,high_prob
777,777,3,low_prob
778,778,4,high_prob
779,779,1,low_prob
780,780,2,no transition
781,781,3,low_prob
782,782,4,high_prob
783,783,2,low_prob
784,784,3,low_prob
785,785,2,no transition
786,786,4,low_prob
787,787,1,low_prob
788,788,4,low_prob
789,789,2,low_prob
790,790,3,no transition
791,791,4,high_prob
792,792,1,low_prob
793,793,2,low_prob
794,794,1,high_prob
795,795,3,no transition
796,796,2,low_prob
797,797,1,high_prob
798,798,2,low_prob
799,799,1,high_prob
800,800,2,no transition
801,801,1,high_prob
802,802,2,low_prob
803,803,4,low_prob
804,804,2,low_prob
805,805,2,no transition
806,806,1,high_prob
807,807,4,low_prob
808,808,2,low_prob
809,809,1,high_prob
